City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Artesia,US,33.8658,-118.0831,97.38,64,0,11.5,clear sky
305,Conakry,GN,9.538,-13.6773,77.07,94,75,6.91,light rain
306,Fayetteville,US,35.0527,-78.8784,97.48,53,0,10.36,clear sky
307,Puerto Ayacucho,VE,5.6639,-67.6236,80.24,84,65,5.91,light rain
308,Hovd,MN,48.0056,91.6419,58.3,50,5,2.68,clear sky
309,Dauphin,CA,51.1494,-100.0502,68.14,56,75,10.36,broken clouds
310,Pastavy,BY,55.1168,26.8326,62.06,90,28,2.89,scattered clouds
311,Villiers,ZA,-27.0303,28.6006,48.76,72,10,5.3,clear sky
312,Sisimiut,GL,66.9395,-53.6735,45.46,86,100,4.09,overcast clouds
313,Cavalcante,BR,-13.7975,-47.4583,70.65,43,32,4.14,scattered clouds
314,Mount Darwin,ZW,-16.7725,31.5838,56.12,66,16,2.3,few clouds
315,Gillette,US,44.2911,-105.5022,81.52,29,0,13.8,clear sky
316,Ambon,ID,-3.6954,128.1814,75.24,17,40,8.05,scattered clouds
317,Bantou,CN,26.2151,117.4893,75.81,78,1,1.1,clear sky
318,Mpulungu,ZM,-8.7623,31.1141,71.71,52,6,7.87,clear sky
319,Llata,PE,-9.4167,-76.7833,59.29,73,70,7.34,broken clouds
320,Kudahuvadhoo,MV,2.6708,72.8944,82.51,73,100,11.36,overcast clouds
321,Padilla,CO,3.2204,-76.3139,74.77,89,80,1.01,moderate rain
322,Anloga,GH,5.7947,0.8973,75.99,85,72,12.17,broken clouds
323,Port Hardy,CA,50.6996,-127.4199,61.65,71,17,12.88,few clouds
324,Bata,GQ,1.8639,9.7658,75.04,79,98,4.09,overcast clouds
325,Great Yarmouth,GB,52.6083,1.7305,71.85,70,98,8.75,overcast clouds
326,Iqaluit,CA,63.7506,-68.5145,46.13,93,100,4.61,overcast clouds
327,Bandundu,CD,-3.3167,17.3667,79.81,61,88,3.42,overcast clouds
328,Sur,OM,22.5667,59.5289,87.28,67,48,9.66,scattered clouds
329,Honningsvag,NO,70.9821,25.9704,49.75,87,100,23.02,overcast clouds
330,Comodoro Rivadavia,AR,-45.8667,-67.5,38.01,68,100,5.93,overcast clouds
331,Rawson,AR,-43.3002,-65.1023,40.39,95,100,14.58,light rain
332,Jiujiang,CN,29.7333,115.9833,75.87,91,51,2.95,broken clouds
333,North Bend,US,43.4065,-124.2243,76.24,79,0,21.85,clear sky
334,Altay,CN,47.8667,88.1167,58.28,43,32,3.27,scattered clouds
335,Leshukonskoye,RU,64.8989,45.7622,53.58,98,100,8.21,moderate rain
336,Shelburne,CA,44.0787,-80.2041,86.45,41,48,9.37,scattered clouds
337,Barabinsk,RU,55.3571,78.357,51.93,99,41,9.37,light rain
338,Souillac,MU,-20.5167,57.5167,68.38,83,40,12.66,scattered clouds
339,Klaksvik,FO,62.2266,-6.589,50.92,91,97,17.85,overcast clouds
340,Merke,KZ,42.8728,73.1786,78.24,31,0,5.19,clear sky
341,Sitka,US,57.0531,-135.33,57.09,88,100,0.0,light rain
342,Lichinga,MZ,-13.3128,35.2406,55.49,88,0,9.22,clear sky
343,Deputatskiy,RU,69.3,139.9,53.42,61,30,5.84,scattered clouds
344,Diamantino,BR,-14.4086,-56.4461,83.28,31,24,5.57,few clouds
345,Panjab,AF,34.388,67.0233,60.96,30,12,5.75,few clouds
